,score_phrase,title,url,platform,score,editors_choice,release_year,release_month,release_day,primary_genre,secondary_genre
0,Amazing,LittleBigPlanet PS Vita,/games/littlebigplanet-vita/vita-98907,PlayStation Vita,9.0,Y,2012,9,12,Platformer,
1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,/games/littlebigplanet-ps-vita-marvel-super-hero-edition/vita-20027059,PlayStation Vita,9.0,Y,2012,9,12,Platformer,
2,Great,Splice: Tree of Life,/games/splice/ipad-141070,iPad,8.5,N,2012,9,12,Puzzle,
3,Great,NHL 13,/games/nhl-13/xbox-360-128182,Xbox 360,8.5,N,2012,9,11,Sports,
4,Great,NHL 13,/games/nhl-13/ps3-128181,PlayStation 3,8.5,N,2012,9,11,Sports,
5,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/mac-142565,Macintosh,7.0,N,2012,9,11,Strategy,
6,Awful,Double Dragon: Neon,/games/double-dragon-neon/xbox-360-131320,Xbox 360,3.0,N,2012,9,11,Fighting,
7,Amazing,Guild Wars 2,/games/guild-wars-2/pc-896298,PC,9.0,Y,2012,9,11,RPG,
8,Awful,Double Dragon: Neon,/games/double-dragon-neon/ps3-131321,PlayStation 3,3.0,N,2012,9,11,Fighting,
9,Good,Total War Battles: Shogun,/games/total-war-battles-shogun/pc-142564,PC,7.0,N,2012,9,11,Strategy,
10,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/ps3-124584,PlayStation 3,7.5,N,2012,9,11,Fighting,
11,Good,Tekken Tag Tournament 2,/games/tekken-tag-tournament-2/xbox-360-124581,Xbox 360,7.5,N,2012,9,11,Fighting,
12,Good,Wild Blood,/games/wild-blood/iphone-139363,iPhone,7.0,N,2012,9,10,,
13,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/xbox-360-129276,Xbox 360,9.0,Y,2012,9,7,Action, Adventure
14,Amazing,Mark of the Ninja,/games/mark-of-the-ninja-135615/pc-143761,PC,9.0,Y,2012,9,7,Action, Adventure
15,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/mac-20014750,Macintosh,6.5,N,2012,9,6,Adventure,
16,Okay,Home: A Unique Horror Adventure,/games/home-a-unique-horror-adventure/pc-137135,PC,6.5,N,2012,9,6,Adventure,
17,Great,Avengers Initiative,/games/avengers-initiative/iphone-141579,iPhone,8.0,N,2012,9,5,Action,
18,Mediocre,Way of the Samurai 4,/games/way-of-the-samurai-4/ps3-23516,PlayStation 3,5.5,N,2012,9,3,Action, Adventure
19,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/xbox-360-137717,Xbox 360,7.0,N,2012,9,3,Fighting,
20,Good,JoJo's Bizarre Adventure HD,/games/jojos-bizarre-adventure/ps3-137896,PlayStation 3,7.0,N,2012,9,3,Fighting,
21,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/xbox-360-138918,Xbox 360,7.5,N,2012,8,31,RPG,
22,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/ps3-138915,PlayStation 3,7.5,N,2012,8,31,RPG,
23,Good,Mass Effect 3: Leviathan,/games/mass-effect-3-leviathan/pc-138919,PC,7.5,N,2012,8,31,RPG,
24,Amazing,Dark Souls (Prepare to Die Edition),/games/dark-souls-prepare-to-die-edition/pc-131930,PC,9.0,Y,2012,8,31,Action, RPG
25,Good,Symphony,/games/symphony/pc-136470,PC,7.0,N,2012,8,30,Shooter,
26,Amazing,Bastion,/games/bastion/ipad-140874,iPad,9.0,Y,2012,8,30,Action, RPG
27,Good,Tom Clancy's Ghost Recon Phantoms,/games/tom-clancys-ghost-recon-online/pc-109114,PC,7.5,N,2012,8,29,Shooter,
28,Great,Thirty Flights of Loving,/games/thirty-flights-of-loving/pc-138374,PC,8.0,N,2012,8,29,Adventure,
29,Okay,Legasista,/games/legasista/ps3-127147,PlayStation 3,6.5,N,2012,8,28,Action, RPG
30,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/mac-135875,Macintosh,9.0,Y,2012,8,28,Adventure,
31,Great,World of Warcraft: Mists of Pandaria,/games/world-of-warcraft-mists-of-pandaria/pc-114681,PC,8.7,Y,2012,10,4,RPG,
32,Bad,Hell Yeah! Wrath of the Dead Rabbit,/games/hell-yeah-wrath-of-the-dead-rabbit/ps3-129409,PlayStation 3,4.9,N,2012,10,4,Platformer,
33,Amazing,Pokemon White Version 2,/games/pokemon-white-version-2/nds-129228,Nintendo DS,9.6,Y,2012,10,3,RPG,
34,Good,War of the Roses,/games/war-of-the-roses-140577/pc-115849,PC,7.3,N,2012,10,3,Action,
35,Amazing,Pokemon Black Version 2,/games/pokemon-black-version-2/nds-129224,Nintendo DS,9.6,Y,2012,10,3,RPG,
36,Okay,Drakerider,/games/drakerider/iphone-135745,iPhone,6.5,N,2012,10,3,RPG,
37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/xbox-360-135872,Xbox 360,9.0,Y,2012,8,28,Adventure,
38,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/pc-135874,PC,9.0,Y,2012,8,28,Adventure,
39,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ps3-135873,PlayStation 3,9.0,Y,2012,8,28,Adventure,
40,Great,Rock Band Blitz,/games/rock-band-blitz/xbox-360-131273,Xbox 360,8.5,Y,2012,8,27,Music,
41,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/mac-116695,Macintosh,8.0,N,2012,8,27,Shooter,
42,Great,Worms Revolution,/games/worms-revolution/ps3-131184,PlayStation 3,8.5,N,2012,10,2,Strategy,
43,Great,Worms Revolution,/games/worms-revolution/pc-131183,PC,8.5,N,2012,10,2,Strategy,
44,Great,Worms Revolution,/games/worms-revolution/xbox-360-131185,Xbox 360,8.5,N,2012,10,2,Strategy,
45,Amazing,Bad Piggies,/games/bad-piggies/iphone-141455,iPhone,9.2,Y,2012,10,1,Action,
46,Good,Resident Evil 6,/games/resident-evil-6/ps3-85710,PlayStation 3,7.9,N,2012,10,1,Action, Adventure
47,Good,Resident Evil 6,/games/resident-evil-6/xbox-360-117995,Xbox 360,7.9,N,2012,10,1,Action, Adventure
48,Good,Shad'O,/games/shado/pc-141293,PC,7.0,N,2012,9,28,Adventure,
49,Okay,Demon's Score,/games/demons-score/iphone-118050,iPhone,6.9,N,2012,9,27,Action,
50,Amazing,NBA 2K13,/games/nba-2k13/xbox-360-132080,Xbox 360,9.1,Y,2012,9,27,Sports,
51,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/pc-115451,PC,8.0,N,2012,8,27,Shooter,
52,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/ipad-140661,iPad,9.5,Y,2012,8,27,RPG,
53,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/ps3-115453,PlayStation 3,8.0,N,2012,8,27,Shooter,
54,Amazing,The World Ends with You: Solo Remix,/games/the-world-ends-with-you-solo-remix/iphone-140269,iPhone,9.5,Y,2012,8,27,RPG,
55,Great,Counter-Strike: Global Offensive,/games/counter-strike-global-offensive/xbox-360-115452,Xbox 360,8.0,N,2012,8,27,Shooter,
56,Okay,Madden NFL 13,/games/madden-nfl-2013/vita-128100,PlayStation Vita,6.0,N,2012,8,24,Sports,
57,Amazing,Madden NFL 13,/games/madden-nfl-2013/ps3-128098,PlayStation 3,9.0,Y,2012,8,24,Sports,
58,Amazing,Madden NFL 13,/games/madden-nfl-2013/xbox-360-128097,Xbox 360,9.0,Y,2012,8,24,Sports,
59,Painful,Hoodwink,/games/hoodwink/pc-136672,PC,2.5,N,2012,8,23,Adventure,
60,Amazing,NBA 2K13,/games/nba-2k13/ps3-132077,PlayStation 3,9.1,Y,2012,9,27,Sports,
61,Amazing,NBA 2K13,/games/nba-2k13/pc-140490,PC,9.1,Y,2012,9,27,Sports,
62,Good,Lili: Child of Geos,/games/lili/iphone-138013,iPhone,7.0,N,2012,9,26,Adventure,
63,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,Xbox 360,8.2,N,2012,9,26,Fighting,
64,Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,PlayStation 3,8.2,N,2012,9,26,Fighting,
65,Great,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,PlayStation 3,8.8,N,2012,9,25,Fighting,
66,Great,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,Xbox 360,8.8,N,2012,9,25,Fighting,
67,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,PC,4.0,N,2012,10,26,Shooter,
68,Great,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,Nintendo 3DS,8.7,Y,2012,10,26,Adventure,
69,Great,Hotline Miami,/games/hotline-miami/pc-139657,PC,8.8,Y,2012,10,26,Action,
70,Okay,Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,PC,6.0,N,2012,10,26,Adventure,
71,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,PlayStation 3,4.0,N,2012,10,26,Shooter,
72,Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/xbox-360-101086,Xbox 360,4.0,N,2012,10,26,Shooter,
73,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/xbox-360-92426,Xbox 360,8.5,N,2012,8,21,Shooter,
74,Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,PlayStation 3,8.5,N,2012,8,21,Shooter,
75,Amazing,Hero Academy,/games/hero-academy-136971/pc-122908,PC,9.0,Y,2012,8,20,Board,
76,Amazing,Hero Academy,/games/hero-academy-136971/iphone-122803,iPhone,9.0,Y,2012,8,20,Strategy,
77,Amazing,Puzzle Craft,/games/puzzlecraft/iphone-134348,iPhone,9.0,Y,2012,8,17,Puzzle,
78,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,Xbox 360,5.5,N,2012,9,24,Action,
79,Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,PlayStation 3,5.5,N,2012,9,24,Action,
80,Great,Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,PlayStation 3,8.2,N,2012,9,23,Action,
81,Good,Darksiders II,/games/darksiders-2/pc-91963,PC,7.5,N,2012,8,17,Action,
82,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,Macintosh,7.0,N,2012,8,17,Shooter,
83,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,PC,7.0,N,2012,8,17,Shooter,
84,Amazing,Puzzle Craft,/games/puzzlecraft/android-134352,Android,9.0,Y,2012,8,17,Puzzle,
85,Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/xbox-360-140188,Xbox 360,7.0,N,2012,8,17,Shooter,
86,Amazing,Horn,/games/horn/iphone-136814,iPhone,9.0,Y,2012,8,16,Action, Adventure
87,Amazing,Forza Horizon,/games/forza-horizon/xbox-360-129564,Xbox 360,9.0,Y,2012,10,12,Racing,
88,Bad,FIFA Soccer 13,/games/fifa-2013/vita-115689,PlayStation Vita,4.0,N,2012,10,12,Sports,
89,Awful,Mugen Souls,/games/mugen-souls/ps3-120256,PlayStation 3,3.9,N,2012,10,12,Strategy, RPG
90,Good,Crazy Taxi,/games/crazy-taxi/iphone-144755,iPhone,7.1,N,2012,10,11,Racing, Action
91,Mediocre,New Little King's Story,/games/new-kings-story/vita-116369,PlayStation Vita,5.8,N,2012,10,11,RPG,
92,Good,Fable: The Journey,/games/fable-the-journey/xbox-360-27948,Xbox 360,7.2,N,2012,10,9,Action, RPG
93,Great,The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,PC,8.3,N,2012,10,26,RPG,
94,Good,Doom 3: BFG Edition,/games/doom-3/xbox-360-135333,Xbox 360,7.6,N,2012,10,25,RPG,
95,Okay,Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,Xbox 360,6.0,N,2012,10,25,Sports,
96,Okay,Rugby League Live 2,/games/rugby-league-live-2/ps3-136984,PlayStation 3,6.0,N,2012,10,25,Sports,
97,Good,Doom 3: BFG Edition,/games/doom-3/ps3-135329,PlayStation 3,7.6,N,2012,10,25,RPG,
98,Amazing,Punch Quest,/games/punch-quest/iphone-136667,iPhone,9.3,Y,2012,10,25,Action,
99,Okay,He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,iPhone,6.8,N,2012,10,25,Action,
100,Good,Doom 3: BFG Edition,/games/doom-3/pc-135338,PC,7.6,N,2012,10,25,RPG,
101,Great,Dokuro,/games/dokuro/vita-130906,PlayStation Vita,8.8,N,2012,10,19,Puzzle,
102,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/xbox-360-135404,Xbox 360,2.3,N,2012,10,18,Action,
103,Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,PlayStation 3,2.3,N,2012,10,18,Action,
104,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/ps3-145419,PlayStation 3,7.5,N,2012,10,18,Shooter, RPG
105,Great,Skylanders Giants,/games/skylanders-giants/ps3-128142,PlayStation 3,8.0,N,2012,10,18,Action, Adventure
106,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/pc-145418,PC,7.5,N,2012,10,18,Shooter, RPG
107,Great,Rayman: Jungle Run,/games/rayman-jungle-run/iphone-141641,iPhone,8.8,N,2012,9,20,Platformer,
108,Amazing,FIFA Soccer 13,/games/fifa-2013/pc-115688,PC,9.0,Y,2012,9,20,Sports,
109,Amazing,FIFA Soccer 13,/games/fifa-2013/ps3-115679,PlayStation 3,9.0,Y,2012,9,20,Sports,
110,Amazing,Torchlight II,/games/torchlight-ii/pc-82633,PC,9.1,Y,2012,9,20,Action, RPG
111,Amazing,FIFA Soccer 13,/games/fifa-2013/xbox-360-115691,Xbox 360,9.0,Y,2012,9,20,Sports,
112,Bad,The Sims 3: Supernatural,/games/the-sims-3-supernatural/pc-136180,PC,4.5,N,2012,9,19,Simulation,
113,Good,Retro/Grade,/games/retrograde-138590/ps3-21766,PlayStation 3,7.0,N,2012,8,15,,
114,Amazing,Iron Brigade,/games/iron-brigade/pc-121033,PC,9.0,Y,2012,8,15,Action,
115,Okay,Cafeteria Nipponica,/games/cafeteria-nipponica/iphone-139633,iPhone,6.0,N,2012,8,15,Simulation,
116,Great,Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,Xbox 360,8.5,N,2012,8,14,Action,
117,Great,Sleeping Dogs,/games/sleeping-dogs/ps3-55068,PlayStation 3,8.5,N,2012,8,14,Action,
118,Good,Darksiders II,/games/darksiders-2/ps3-14336767,PlayStation 3,7.5,N,2012,8,14,Action,
119,Bad,Papo & Yo,/games/papo-and-yo/ps3-110267,PlayStation 3,4.0,N,2012,8,14,Adventure,
120,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,PC,7.5,N,2012,10,9,Adventure,
121,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ipad-135882,iPad,7.5,N,2012,10,9,Adventure,
122,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ps3-135880,PlayStation 3,7.5,N,2012,10,9,Adventure,
123,Mediocre,Cortex Command,/games/cortex-command/pc-14333880,PC,5.0,N,2012,10,9,Action, Simulation
124,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/xbox-360-135881,Xbox 360,7.5,N,2012,10,9,Adventure,
125,Good,Derrick the Deathfin,/games/derrick-the-deathfin-133942/ps3-129921,PlayStation 3,7.4,N,2012,10,9,Action,
126,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,Macintosh,7.5,N,2012,10,9,Adventure,
127,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,Xbox 360,8.2,N,2012,10,8,Strategy,
128,Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,PC,8.2,N,2012,10,8,Strategy,
129,Okay,Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,PlayStation Vita,6.0,N,2012,10,24,Adventure,
130,Good,Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,PC,7.4,N,2012,10,24,Flight, Action
131,Okay,Pocket Clothier,/games/pocket-clothier/iphone-145621,iPhone,6.6,N,2012,10,24,Strategy,
132,Okay,Pocket Clothier,/games/pocket-clothier/android-145958,Android,6.6,N,2012,10,24,Strategy,
133,Okay,Ravaged,/games/ravaged-135376/pc-128650,PC,6.7,N,2012,10,23,Shooter,
134,Okay,True Skate,/games/true-skate/iphone-145482,iPhone,6.7,N,2012,10,23,Sports,
135,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/3ds-116383,Nintendo 3DS,9.5,Y,2012,10,23,Adventure,
136,Amazing,Zero Escape: Virtue's Last Reward,/games/virtues-last-reward/vita-116380,PlayStation Vita,9.5,Y,2012,10,23,Adventure,
137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,/games/the-walking-dead-season-1-episode-3/ipad-135871,iPad,9.0,Y,2012,10,22,Adventure,
138,Great,Skylanders Giants,/games/skylanders-giants/xbox-360-128140,Xbox 360,8.0,N,2012,10,18,Action, Adventure
139,Great,Skylanders Giants,/games/skylanders-giants/wii-128141,Wii,8.0,N,2012,10,18,Action, Adventure
140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/xbox-360-145420,Xbox 360,7.5,N,2012,10,18,Shooter, RPG
141,Great,Devil's Attorney,/games/devils-attorney/android-145462,Android,8.3,N,2012,10,17,Strategy,
142,Great,Devil's Attorney,/games/devils-attorney/iphone-145099,iPhone,8.3,N,2012,10,17,Strategy,
143,Okay,Code of Princess,/games/code-of-princess-135813/3ds-125676,Nintendo 3DS,6.9,N,2012,10,17,Action, RPG
144,Great,SunFlowers,/games/sun-flowers-134128/vita-132435,PlayStation Vita,8.0,N,2012,10,17,Puzzle,
145,Bad,007 Legends,/games/007-legends/xbox-360-132394,Xbox 360,4.5,N,2012,10,16,Action,
146,Amazing,Super Hexagon,/games/super-hexagon/iphone-143440,iPhone,9.0,N,2012,9,19,Action,
147,Great,Machinarium,/games/machinarium/ps3-110942,PlayStation 3,8.0,N,2012,9,18,Adventure,
148,Great,Final Fantasy Dimensions,/games/final-fantasy-dimensions/iphone-135306,iPhone,8.0,N,2012,9,18,RPG,
149,Great,They Bleed Pixels,/games/they-bleed-pixels/pc-141012,PC,8.2,N,2012,9,18,Platformer,
150,Good,Jet Set Radio,/games/jet-set-radio/vita-135073,PlayStation Vita,7.5,N,2012,9,17,Action,
151,Good,Jet Set Radio,/games/jet-set-radio/ps3-129168,PlayStation 3,7.5,N,2012,9,17,Action,
152,Good,Jet Set Radio,/games/jet-set-radio/xbox-360-129165,Xbox 360,7.5,N,2012,9,17,Action,
153,Great,Pro Evolution Soccer 2013,/games/pro-evolution-soccer-2013/xbox-360-133009,Xbox 360,8.5,Y,2012,9,17,Sports,
154,Amazing,F1 2012,/games/f1-2012/pc-130383,PC,9.0,Y,2012,9,17,Racing,
155,Good,Darksiders II,/games/darksiders-2/xbox-360-14336768,Xbox 360,7.5,N,2012,8,14,Action,
156,Good,Pitfall,/games/pitfall-working-title/iphone-137420,iPhone,7.0,N,2012,8,13,Platformer,
157,Great,Dust: An Elysian Tail,/games/dust-an-elysian-tail-139696/xbox-360-77719,Xbox 360,8.5,N,2012,8,13,Platformer,
158,Great,Hybrid,/games/hybrid-140542/xbox-360-37860,Xbox 360,8.0,N,2012,8,13,Shooter,
159,Mediocre,The Dark Knight Rises,/games/the-dark-knight-rises/iphone-130653,iPhone,5.5,N,2012,8,10,Action,
160,Good,10000000,/games/10000000/iphone-139135,iPhone,7.5,N,2012,8,9,,
161,Okay,The Political Machine 2012,/games/the-political-machine-2012/pc-131306,PC,6.5,N,2012,8,9,Strategy,
162,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/ps3-135578,PlayStation 3,9.0,Y,2012,8,8,Platformer,
163,Amazing,Sound Shapes,/games/sound-shapes-queasy-games/vita-110145,PlayStation Vita,9.0,Y,2012,8,8,Platformer,
164,Okay,One Piece: Pirate Warriors,/games/one-piece-pirate-warriors/ps3-116782,PlayStation 3,6.0,N,2012,10,8,Action,
