County	Facility	Attendance
Suffolk	Amsterdam Beach	24820
Suffolk	Bayard C. A.	471873
Suffolk	Belmont Lakes St Pk	1199520
Nassau	Bethpage Golf Course	815822
Nassau	Brentwood Sp	1446164
Suffolk	Brookhaven State Park	75043
Suffolk	Caleb Smith State Park	101246
Suffolk	Camp Hero	401220
Suffolk	Captree St Pk	1644634
Suffolk	Caumsett St Pk	824722
Suffolk	Cold Spring Harbor	219784
Suffolk	Connetquot River St Pk	259435
Suffolk	Gilgo St Pk	287961
Suffolk	Hallock St Pk Preserve	55566
Suffolk	Heckscher St Park	1390081
Nassau	Hempstead Lake St Pk	621991
Suffolk	Hither Hills	525320
Nassau	Jones Beach	8034685
Suffolk	Montauk Downs	97900
Suffolk	Montauk Point	1263754
Suffolk	Napeague State Park	131740
Suffolk	Nissequogue River	281156
Suffolk	Orient Beach St Pk	174679
Nassau	Planting Fields A	455027
Suffolk	Robert Moses St Pk	4067368
Suffolk	Sag Harbour	27865
Suffolk	Shadmore	172955
Suffolk	Sunken Meadow St Pk	3463692
Nassau	Trailview	247374
Nassau	Valley Stream St Pk	407700
Suffolk	Walt Whitman House	1932
Suffolk	Wildwood State Park	489769
Jefferson	Long Point River Park	40334